filename,language,total_chunks,climate_chunks,kept_percentage,spec_specific,spec_non_specific,spec_avg_score,sent_opportunity,sent_neutral,sent_risk,sent_avg_score,commit_yes,commit_no,commit_avg_score,spec_specific_pct,sent_opportunity_pct,commit_yes_pct
006_2024_annual_report,en,268,182,67.91044776119402,107,75,0.7419963416817424,34,83,65,0.8178708541851777,127,55,0.9423256293757931,58.8,18.7,69.8
20230306092454-Nachhaltigkeitsbericht_Faktensheets_Dillinger_EN_2021,en,4,2,50.0,2,0,0.8537124991416931,0,2,0,0.900932639837265,0,2,0.8730829358100891,100.0,0.0,0.0
005_2021_annual_report,en,294,105,35.714285714285715,64,41,0.7590529657545544,40,47,18,0.8435336672124408,70,35,0.9371047224317278,61.0,38.1,66.7
015_2021_corporate_responsibility_report,zh,155,81,52.25806451612903,45,36,0.7444561852349175,49,29,3,0.8481176532345054,71,10,0.9211779921143143,55.6,60.5,87.7
004_2017_non_financial_report,en,57,36,63.1578947368421,15,21,0.7252227382527457,11,24,1,0.8508580169743962,27,9,0.9013024386432436,41.7,30.6,75.0
003_2014_annual_report,en,237,53,22.362869198312236,44,9,0.7500556898566911,12,15,26,0.8324388872902349,27,26,0.8659480866396202,83.0,22.6,50.9
012_2020_annual_report,de,77,27,35.064935064935064,15,12,0.7836522084695322,10,12,5,0.8053475839120371,18,9,0.9432769726823877,55.6,37.0,66.7
008_2024_corporate_responsibility_report,de,181,91,50.27624309392266,34,57,0.7845752468475928,34,53,4,0.8504413251693432,48,43,0.9512197525946648,37.4,37.4,52.7
007_2024_sustainability_report,en,93,70,75.26881720430107,42,28,0.7296325819832938,22,40,8,0.8160606341702598,48,22,0.9066742335047041,60.0,31.4,68.6
003_2023_annual_report,en,370,188,50.810810810810814,133,55,0.7848970100600668,60,93,35,0.826720101719207,142,46,0.9514936979146714,70.7,31.9,75.5
001_2017_factbook,en,56,29,51.78571428571429,25,4,0.7857761506376595,7,21,1,0.7909310686177221,9,20,0.864361754779158,86.2,24.1,31.0
001_2015_factbook,en,50,28,56.00000000000001,24,4,0.8019737132958004,6,21,1,0.7775157562323979,15,13,0.8886272651808602,85.7,21.4,53.6
014_2021_highlights,en,23,20,86.95652173913044,8,12,0.7259437918663025,12,8,0,0.7815730482339859,17,3,0.9051039189100265,40.0,60.0,85.0
fact_sheet_2022_dillinger_en,en,3,2,66.66666666666666,2,0,0.8346164524555206,0,2,0,0.8716849684715271,0,2,0.8716134130954742,100.0,0.0,0.0
007_2020_sustainability_report,es,160,101,63.125,36,65,0.7413517726529942,46,52,3,0.8139041204853813,72,29,0.915546190030504,35.6,45.5,71.3
001_2015_annual_report,en,632,137,21.677215189873415,104,33,0.7698985507888515,15,63,59,0.7544892730504057,45,92,0.9199165218938006,75.9,10.9,32.8
001_2018_factbook,en,65,23,35.38461538461539,21,2,0.7645648743795312,4,19,0,0.7878137308618297,8,15,0.8104537699533545,91.3,17.4,34.8
010_2024_sustainability_report,en,96,58,60.416666666666664,36,22,0.7388859370659138,13,39,6,0.8408183147167337,36,22,0.900535740729036,62.1,22.4,62.1
014_2022_sustainability_report,en,198,138,69.6969696969697,47,91,0.7405028062454169,59,58,21,0.8428146005540654,99,39,0.9037159167338109,34.1,42.8,71.7
014_2023_integrated_annual_report,en,345,191,55.362318840579704,81,110,0.7600865520107809,71,81,39,0.8225122524805718,108,83,0.9301991662429889,42.4,37.2,56.5
005_2019_annual_report,en,336,134,39.88095238095239,84,50,0.7620594127854304,63,56,15,0.8606583229196605,97,37,0.9251079061138097,62.7,47.0,72.4
002_2024_integrated_annual_report,en,240,158,65.83333333333333,73,85,0.7518079884444611,22,107,29,0.8308856198682061,86,72,0.9273025536838966,46.2,13.9,54.4
004_2014_annual_report,en,281,59,20.99644128113879,40,19,0.7447026371955872,23,17,19,0.8102840296292709,28,31,0.8988042817277423,67.8,39.0,47.5
012_2023_annual_report,de,95,33,34.73684210526316,14,19,0.7669619303761106,15,10,8,0.8017898382562579,19,14,0.9675858020782471,42.4,45.5,57.6
001_2016_annual_report,en,644,136,21.11801242236025,108,28,0.7519576286568361,16,69,51,0.7423242004040409,47,89,0.9161933029399199,79.4,11.8,34.6
003_2015_sustainability_report,en,123,86,69.91869918699187,61,25,0.727355053951574,33,42,11,0.8091869683459748,63,23,0.9285090004288873,70.9,38.4,73.3
WEB_STAHL-241088_Faktenblaetter_2024_Dillinger_RGB_ENG,en,3,2,66.66666666666666,2,0,0.7733582258224487,0,2,0,0.8885565400123596,0,2,0.9391497373580933,100.0,0.0,0.0
010_2023_sustainability_report,en,146,90,61.64383561643836,56,34,0.7199184695879618,27,52,11,0.8132544732756085,65,25,0.907732982105679,62.2,30.0,72.2
001_2017_integrated_annual_review,en,126,97,76.98412698412699,58,39,0.7538471381688855,58,33,6,0.8412841066871721,84,13,0.9708911917873264,59.8,59.8,86.6
