company,country,technology,transformation_tech,year,production,scope1,scope2_location,scope2_market,scope_1_2_location,intensity_location_co2e,intensity_market_co2e,cdp_climate_score,cap_supplier_engagement,ecovadis,ESG_transparency,SBTi_validated,responsible_steel,iso_14001,iso_14064,iso_45001,data_quality,notes,Unnamed: 23,carbon_price,electricity_price,electricity_price_eu,coal_price_australia,iron_ore_price,natural_gas_price,natural_gas_price_eu,crude_steel_production,crude_steel_production_eu,capacity_utilisation_eu,ETS_coke_production,ETS_metal_ore,ETS_iron_steel,ETS_hydrogen_gas,SCI,hydrogen_use,free_allocation,ETS_free_ratio,ETS,CBAM,IED_update,green_deal,NZIA,CSP_funding,GPP,CSR,paris,KSG,ESRS,glasgow,govt_change,govt_change_DE,govt_change_IT,govt_change_SE,govt_change_NL,govt_change_ES,govt_change_FI,govt_change_FR,govt_change_LU,govt_change_GB,govt_change_AT,EU_parl,EU_comm,Construction/ Infrastructure (C/I),Automotive/ Mobility (A/M),Energy/Power (E/P),Wind/Solar Energy (W/S),Oil & Gas/ Pipelines (O/G),Mechanical Eng./ Industrial Apps (ME/IA),Railways/ Track Systems (R/TS),Aerospace/ Aviation (A/A),HH Appliances/ Consumer Goods (HA/CG),Packaging/Food Industry (P/FI),client_pressure_score,carbon_intensity
ArcelorMittal,Luxembourg,BF-BOF,,2013,90.9,162.0,18.0,,180.0,1.98,,,,,,,,,,,Excellent,Historical portfolio,,4.3,0.0992,0.118,0.007406618,92.87195897,0.04795,0.04115,2.1,165.7,68.6,,,362246.0,,0.172498095,,304146.0,0.839611756,3.0,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,1.782178217821782
ArcelorMittal,Luxembourg,BF-BOF,,2014,93.4,167.0,14.0,,181.0,1.94,,,,,,,,,,,Excellent,Historical portfolio,,5.9,0.0997,0.1198,0.006225997,67.42338428,0.041,0.03835,2.2,169.2,70.1,,,391889.0,,0.178131364,,298864.0,0.76262411,3.0,,,,,,1.0,1.0,,,,,,,1.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,1.7880085653104925
ArcelorMittal,Luxembourg,BF-BOF,,2015,92.7,168.0,14.0,,182.0,1.96,,,,,,,,,,,Excellent,Historical portfolio,,7.6,0.09105,0.1158,0.006929105,51.43696783,0.03835,0.0356,2.1,166.1,69.6,,,385062.0,,0.183362857,,293517.0,0.762259065,3.0,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,1.8122977346278317
ArcelorMittal,Luxembourg,BF-BOF,,2016,90.4,167.0,12.0,,179.0,1.98,,,,,,,,,,,Excellent,Historical portfolio,,5.2,0.08655,0.1122,0.008110017,56.13143908,0.0341,0.0313,2.3,162.3,69.5,,,382045.0,,0.166106522,,288118.0,0.754146763,3.0,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,1.8473451327433628
ArcelorMittal,Luxembourg,BF-BOF,,2017,92.9,170.0,13.0,,183.0,1.97,,,,,,,,,,,Excellent,Historical portfolio,,5.8,0.07915,0.11275,0.010276933,65.26184397,0.03185,0.0296,2.2,168.7,73.5,,,376127.0,,0.170966818,,282660.0,0.751501488,3.0,,1.0,,,,,2.0,,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,1.8299246501614639
ArcelorMittal,Luxembourg,BF-BOF,,2018,92.5,167.1,11.9,,179.0,1.94,,,,,,,,,,,Excellent,Historical portfolio,,15.5,0.08395,0.1131,0.011356758,57.98030254,0.03255,0.03155,2.2,167.6,73.1,,,375410.0,,0.170640909,,277149.0,0.738256839,3.0,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,1.8064864864864865
ArcelorMittal,Luxembourg,BF-BOF,,2019,89.8,161.2,10.2,,171.4,1.91,,,,,,,,,,,Excellent,Historical portfolio,,24.7,0.09005,0.1205,0.008927396,84.26424977,0.0309,0.03225,2.1,159.4,69.6,,,359300.0,,0.171095238,,271566.0,0.755819649,3.0,,,communicated,,,,,,1.0,,,,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,1.795100222717149
ArcelorMittal,Luxembourg,BF-BOF,,2020,71.5,131.2,7.9,,139.1,1.95,,,,,,,,,,,Excellent,Historical portfolio; Includes divested operations,,24.4,0.0933,0.1257,0.006938629,97.39234831,0.02935,0.02925,1.886,138.8,62.1,,,326864.0,,0.17331071,,265967.0,0.813693157,3.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,1.8349650349650348
ArcelorMittal,Luxembourg,BF-BOF,,2021,67.9,122.6,6.3,,128.9,2.02,,,,,,,,,,,Excellent,Adjusted portfolio,,52.5,0.0964,0.13685,0.013621893,124.9926654,0.0389,0.03605,2.073,149.6,71.7,,,340591.0,,0.164298601,,284402.0,0.835025001,4.0,,,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,1.8055964653902796
ArcelorMittal,Luxembourg,BF-BOF,,2022,56.3,105.5,6.0,,111.5,1.98,,,,,,,,,,,Good,Adjusted portfolio,,80.32,0.1403,0.1972,0.035601772,98.08378154,0.0957,0.07615,1.875,136.4,64.0,,,289753.0,,0.154534933,,284063.0,0.980362585,4.0,,,,,1.0,2.0,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,13.8,1.8738898756660747
