firm_id,year,company,country,technology,transformation_tech,production,scope1,scope2_location,scope2_market,scope_1_2_location,intensity_location_co2e,intensity_market_co2e,cdp_climate_score,cap_supplier_engagement,ecovadis,ESG_transparency,SBTi_validated,responsible_steel,iso_14001,iso_14064,iso_45001,data_quality,Notes,Unnamed: 23,tech_bfboff,tech_eaf,carbon_price,electricity_price,electricity_price_eu,coal_price_australia,iron_ore_price,natural_gas_price,natural_gas_price_eu,crude_steel_production,crude_steel_production_eu,ETS_coke_production,ETS_metal_ore,ETS_iron_steel,ETS_hydrogen_gas,SCI,hydrogen_use,ETS,CBAM,IED_update,green_deal,NZIA,CSP_funding,GPP,CSR,paris,KSG,ESRS,glasgow,govt_change,govt_change_DE,govt_change_IT,govt_change_SE,govt_change_NL,govt_change_ES,govt_change_FI,govt_change_FR,govt_change_LU,govt_change_GB,govt_change_AT,EU_parl,EU_comm,Automotive,Construction/ Infrastructure,Industrial Equipment/ Machinery,Energy/ Oil & Gas,Distributors/ Service Centers/ Trading,Aerospace,Home Appliances/ Consumer Goods,Transportation/ Pipes,Railway Systems/ Rail Products,Steel Processors/ Fabricators,Food Industry/ Catering,Chemical/ Pharmaceutical,Packaging,Material Handling/ Mining,Agriculture,Government/ Public Sector (B2G),B2C (Individual Retail Consumers),Steel Producers (Raw Mat.),client_pressure_score,carbon_intensity,pred_pr,pred_sc,pred_ci,BFBOF,ETS_iron_steel_BF,ETS_h2_BF
0,2019,Acciaierie d’Italia Holding,Italy,BF-BOF,Decarbonization-H2-DRI-CCUS,4.212,10.25,0.027,0.046,10.278,2.44,2.444,,,,,,,,,,,,,1,0,24.7,0.16315,0.1205,0.008927396,84.26424977,0.0319,0.03225,23.2,159.4,,36960.0,8900414.0,657738.0,0.383638534,0.068814348,3.0,,,communicated,,,,,,1.0,,,1.0,,1.0,1.0,,,1.0,,,1.0,1.0,1.0,1.0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,4,2.4335232668566005,5.059945249020792,4.23113915266162,1.0976730966409705,1,8900414.0,657738.0
0,2020,Acciaierie d’Italia Holding,Italy,BF-BOF,Decarbonization-H2-DRI-CCUS,3.371,8.451,0.121,0.219,8.572,2.543,2.573,,,,,,,,,,,,,1,0,24.4,0.15085,0.1257,0.006938629,97.39234831,0.0284,0.02925,20.379,138.8,,28452.0,7613674.0,620912.0,0.373603906,0.075402941,3.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,4,2.5069712251557403,5.3353392221570655,3.689182301098623,0.9069853123947232,1,7613674.0,620912.0
0,2021,Acciaierie d’Italia Holding,Italy,BF-BOF,Decarbonization/H2/DRI/CCUS,3.996,9.879,0.155,0.281,10.034,2.511,2.542,,,,,,,,,,,,,1,0,52.5,0.17185,0.13685,0.013621893,124.9926654,0.0337,0.03605,24.412,149.6,,34683.0,8443132.0,490372.0,0.345859905,0.054891339,4.0,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,,,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,4,2.4722222222222223,4.862077615121889,4.3544157783798205,1.216392554258254,1,8443132.0,490372.0
0,2022,Acciaierie d’Italia Holding,Italy,BF-BOF,Decarbonization/H2/DRI/CCUS,3.409,8.662,0.157,0.284,8.818,2.587,2.625,,,,,,,,,,,,,1,0,80.32,0.29485,0.1972,0.035601772,98.08378154,0.0931,0.07615,21.599,136.4,,32715.0,7531028.0,627454.0,0.348674846,0.07690818,4.0,,,,,1.0,2.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,0,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,4,2.5409210912291,3.1618112310166535,13.459335449605305,3.552479326246568,1,7531028.0,627454.0
4,2020,Celsa Group,Spain,EAF,,4.09,0.518,0.309,,0.827,0.202,,,,,,,Yes (migrating to 45001),Yes,,,Good,Only location-based Scope 2 available (0.309 Mt); COVID-19 impact visible in lower production; ISO 14001 main facilities; ISO 45001 migration from OHSAS 18001 ongoing; ISO 9001 main facilities; SustSteel verified BV; Production p.079 SR2020; Emissions p.102-103 SR2020,,0,1,24.4,0.11255,0.1257,0.006938629,97.39234831,0.02605,0.02925,11.142,138.8,25457.0,160516.0,5101081.0,772155.0,0.457824538,0.131470113,3.0,,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,1.0,,,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,5,0.12665036674816627,6.2306681262805155,2.486182302101337,0.34969448037100187,0,0.0,0.0
4,2021,Celsa Group,Spain,EAF,,6.6,0.785,1.023,1.416,1.808,0.274,0.333,,,,,,,Yes,Yes,,Excellent,"Location-based (0.274) and market-based (0.333) available; Strong production recovery post-COVID (+61% vs 2020); ISO 14001 main facilities; ISO 45001 main plants; ISO 50001 (Barcelona + France); EMAS Spain (GSW, Atlantic, Barcelona); SustSteel verified BV; Working on AENOR N (first steel sector); Production p.007, p.009 SR2021; Emissions p.067, p.071 SR2021",,0,1,52.5,0.12665,0.13685,0.013621893,124.9926654,0.02875,0.03605,14.234,149.6,27881.0,167036.0,6604935.0,795615.0,0.464025221,0.10750755,4.0,,,,,1.0,,,,,,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,5,0.11893939393939396,5.900602399075196,3.0291602905793193,0.5607701055978493,0,0.0,0.0
4,2022,Celsa Group,Spain,EAF,,5.518,0.656,0.765,0.995,1.421,0.258,0.299,B,,,,Committed (1.5°C),,,Yes,Yes,Excellent,Location-based (0.258) and market-based (0.299) av,,0,1,80.32,0.20405,0.1972,0.035601772,98.08378154,0.0888,0.07615,11.464,136.4,28853.0,159517.0,5937730.0,845284.0,0.517945743,0.124617758,4.0,,,,,1.0,2.0,,,,1.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,,,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,5,0.11888365349764408,4.8156384955584075,8.655055602139942,2.02165502618627,0,0.0,0.0
4,2023,Celsa Group,Spain,EAF,,6.296,0.634,0.816,0.979,1.45,0.23,0.256,B,,,,Validated (1.5°C),,,Yes (main plants),Yes (main facilities),Excellent,Both location-based (0.230) and market-based (0.25,,0,1,84.0,0.15665,0.2077,0.017881373,97.74855755,0.0618,0.07575,11.352,126.3,29449.0,120711.0,5304746.0,835336.0,0.467296159,0.136046392,4.0,1.0,,,,1.0,,,,,2.0,,1.0,,,,,1.0,1.0,,1.0,,,,,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,5,0.10069885641677255,5.583722779566525,5.627515252867602,1.1725025627867507,0,0.0,0.0
4,2024,Celsa Group,Spain,EAF,,6.234,0.614,0.755,0.933,1.369,0.22,0.245,B,,,,Validated (1.5°C),,,Yes (main plants),Yes (main sites),Excellent,Both location-based (0.220) and market-based (0.24,,0,1,65.0,0.13985,0.1913,0.013949641,87.80313684,0.0475,0.06295,11.832,129.5,30377.0,114696.0,5911823.0,756141.0,0.499646974,0.113399083,4.0,1.0,,,1.0,1.0,,,,,,,,,,,1.0,,,1.0,,1.0,,1.0,1.0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,5,0.0984921398780879,5.735684674105153,4.003328897570692,0.8148088868492859,0,0.0,0.0
9,2020,SIDENOR Group,Europe (Multi-country),EAF,,1.38,0.176,0.5022,,0.6783,0.49,,,,,,,,,,,,,,0,1,24.4,0.1257,0.1257,0.006938629,97.39234831,0.02925,0.02925,138.8,138.8,4866924.0,2260832.0,98505918.0,8223765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,5,0.12753623188405797,2.604223363901303,-0.006050791911938553,-0.2905395354408122,0,0.0,0.0
