year,n_companies,total_chunks,climate_chunks,climate_pct_mean,climate_pct_std,netzero_chunks,netzero_pct_mean,netzero_pct_std,specificity_mean,specificity_std,commitment_mean,commitment_std,talk_score_mean,talk_score_std,talk_score_min,talk_score_max,talk_score_delta_mean,opportunity_pct,risk_pct,neutral_pct,sent_v2_mean,sent_v2_std
2013,7,2125,701,42.245931064409596,12.95382999548366,43,9.793068356988046,5.650047506546886,0.7431697772477551,0.039006677677054874,0.892996182118509,0.017754483027021543,73.89582458753249,2.637873126439529,70.13761621251302,77.01296173199817,,43.885891325941735,17.663050303716748,38.451058370341514,64.67389939256651,24.591838227803827
2014,7,2323,753,39.61303339974755,18.353024958198944,52,7.888056527154271,7.278033886720657,0.7324682200244358,0.033342880243609624,0.8990477839208608,0.02590291298016187,73.18324683776139,3.40171163219471,68.69567785578525,78.1582055688881,-1.1927953334918204,43.02309959240834,16.299519350715993,40.67738105687566,67.400961298568,27.624448595185086
2015,9,2279,781,39.1670666559926,16.239133021098013,46,6.172264429283419,4.2571839484632665,0.7470068143718847,0.026419670866312684,0.90864611696007,0.031698916846513374,74.0595305844767,3.9306746832071866,65.89674951911147,77.87085305030364,2.356282498676111,42.246429985041544,14.692421577275248,43.0611484376832,70.6151568454495,22.337021678588034
2016,9,2262,776,40.91357272537549,18.674272603763963,63,7.759318804640894,7.449136578997854,0.7447316645413413,0.02567990277583243,0.9112464928698264,0.01423804478403554,74.42184084152181,3.2843879776627274,68.89527262119447,79.42107050898277,0.7419395381195955,44.4036797692892,15.833803512466517,39.762516718244285,68.33239297506697,33.1781516366549
2017,9,2360,807,44.38273521513638,17.446661534527767,61,7.4672968774367945,8.959966635370618,0.7527899147071173,0.02982129094072448,0.8989797885877933,0.02413990646671632,74.94733517482369,2.9318016916375433,69.31971223022147,79.23011692368354,0.5254943333018866,43.28128861670618,13.19362060483379,43.52509077846004,73.6127587903324,19.604529915064514
2018,9,2509,939,47.83201720647773,19.018173010679362,67,7.673700184711608,3.3264285565012806,0.7487557062519516,0.027183485860859006,0.9100037958128987,0.014611360657130054,75.91678352388958,2.8446302841602873,71.43840677921773,80.23118819714917,0.38524658524164734,34.659782201567886,11.642168277306938,53.69804952112517,76.71566344538613,21.619945046693893
2019,10,3092,1171,47.66240646847011,13.521215786740965,85,9.57193045127148,5.616024266808703,0.7423184821430253,0.023070189978266,0.9119268151980195,0.01653366006932954,75.70229318733581,2.1185200124461825,73.08401060561326,78.32142887660673,0.1158842982466453,37.35493761014857,11.066113619137594,51.578948770713836,77.86777276172481,17.73142810331364
2020,11,3408,1341,47.62722525622366,14.932376393982294,122,10.621594046133735,6.113730367072895,0.7397228098469598,0.024739508224571157,0.9242834569539208,0.01583467034178602,76.08569572327995,2.4457327361168257,70.79726228697298,79.70232217808372,0.021739890463764767,42.40796428072776,11.59466685084111,45.99736886843113,76.81066629831777,17.701478988006414
2021,15,3738,1755,60.1178676075552,20.97255813998951,161,9.282718112215688,6.292056699887318,0.7521078014934403,0.032485137048357295,0.9268033058005262,0.021370099817774983,79.1800178132697,4.318381934990563,70.13778944387579,84.79756993989885,1.5893315960632426,44.19691001942564,11.211842170665303,44.59124780990906,77.5763156586694,22.41139344233175
2022,15,3992,2079,61.75928955362825,15.715338108440351,189,10.764432908837689,6.049368491274872,0.7459935394634034,0.024538209652844895,0.9205443390348934,0.00930429652419442,79.01337305065752,3.0422763843138445,73.80689166447718,83.66014493306812,-0.1666447626121766,38.16093387069446,12.454312890598676,49.384753238706864,75.09137421880266,15.715102782086875
2023,14,3857,1908,56.47623952124095,17.095849635740976,240,19.000086277062895,12.493110579685098,0.7488637777847169,0.028005823521269044,0.9256231351388714,0.023815498325871477,78.27472442119173,3.5217322151643056,71.08951079497564,84.73353827263419,-0.643363386668223,34.86667676099001,13.323170288096312,51.810152950913675,73.35365942380737,14.995064878911212
2024,14,3990,2196,60.93458862438287,15.206683226158532,249,13.660685846939057,12.141781441771846,0.7511165548768638,0.025041425825037968,0.9132869231051554,0.019082327134954603,78.76305684415733,3.562066438777425,70.48647340646971,83.32190020893404,0.4883324229656125,24.799365037959966,16.594520643177752,58.60611431886228,66.8109587136445,19.383620666249474
