company,pre_total,post_total,change,pre_trend,post_trend,trend_change
Outokumpu,73.58739590476046,92.5,18.912604095239544,23.0846636643233,30.0,6.915336335676699
Salzgitter AG,19.69899981128515,34.55081458494957,14.851814773664419,0.0,0.0,0.0
SHS Group,14.552555875193628,28.608695652173914,14.056139776980286,0.0,0.0,0.0
SSAB,28.90064342361215,40.06593868122638,11.165295257614229,0.0,0.0,0.0
Voestalpine,14.123287671232879,22.0,7.8767123287671215,0.0,0.0,0.0
ArcelorMittal,28.369710467706014,31.975881261595546,3.6061707938895324,0.0,0.0,0.0
Feralpi Group,69.04724373007625,69.08285865237316,0.0356149222969151,14.776811037768553,12.459793636893291,-2.3170174008752618
Acciaierie d'Italia Holding,,19.0,,,0.0,
Acerinox EU,,75.3013698630137,,,30.0,
Celsa Group,,50.70596727622714,,,0.0,
SIDENOR Group,,79.0222602739726,,,30.0,
Tata Steel Nederland,,24.812785388127857,,,0.0,
Tata Steel UK,,12.404682274247493,,,0.0,
