company,performance_score,intensity,year,trend_score,slope,slope_pct,r_squared,n_years_trend,data_quality_score,time_series,emissions_completeness,production_data,n_years_quality,technology_score,current_tech,transformation_plan,renewable_score,renewable_pct,total_score,category
Outokumpu,22.5,0.49999999999999994,2024,30.0,-0.04262276826357454,-4.262276826357454,0.8814601237674915,12,15,7,6,2,12,20,EAF Stainless,Renewable electricity focus,5,89.0,92.5,🏆 LEADER
SIDENOR Group,25.022260273972602,0.33184931506849313,2024,30.0,-0.03525332539209848,-3.525332539209848,0.8288512201423404,5,10,3,6,1,6,13,EAF,Renewable investments,1,18.0,79.0222602739726,🏆 LEADER
Acerinox EU,13.296232876712327,1.1135844748858448,2024,30.0,-0.030227690905536262,-3.022769090553626,0.7372110269826819,6,11,3,6,2,6,15,EAF Stainless,Renewable focus + H₂ pilots,3,44.0,72.29623287671232,🏆 LEADER
Feralpi Group,25.623065015479874,0.2917956656346749,2024,12.459793636893286,-0.00830652909126219,-0.830652909126219,0.9068216867023474,12,15,7,6,2,12,14,EAF,Circular steel,2,35.0,69.08285865237316,🏆 LEADER
Celsa Group,26.705967276227142,0.21960218158485723,2024,0.0,-0.0008831053237470633,-0.08831053237470632,0.0023323523885680096,5,11,3,6,2,5,13,EAF,Standard operations,0,0.6,50.70596727622714,✓ STRONG
SSAB,8.065938681226372,1.4622707545849085,2024,0.0,0.0004373782902967888,0.04373782902967888,0.0492347287817241,12,15,7,6,2,12,17,BF-BOF,HYBRIT H₂-DRI + EAF conversion,0,,40.06593868122637,⚠️ MODERATE
Salzgitter AG,5.550814584949569,1.6299456943366954,2024,0.0,-0.0020315705776260814,-0.20315705776260815,0.017927308390488866,9,13,7,4,2,12,16,BF-BOF,SALCOS H₂-DRI,0,,34.55081458494957,⚠️ MODERATE
ArcelorMittal,1.9758812615955468,1.8682745825602969,2024,0.0,-0.004329519822580737,-0.43295198225807363,0.17354530283111394,12,15,7,6,2,12,15,BF-BOF + EAF,XCarb: EAF expansion + delayed H₂-DRI plans,0,,31.975881261595546,⚠️ MODERATE
SHS Group,3.6086956521739144,1.7594202898550724,2024,0.0,0.0036217826062137927,0.36217826062137926,0.02083856668290838,8,13,5,6,2,8,12,BF-BOF,Power4Steel H₂-DRI,0,,28.608695652173914,❌ WEAK
Tata Steel Nederland,3.8127853881278595,1.7458143074581427,2024,0.0,0.005309012050528266,0.5309012050528266,0.039018244220000636,6,11,3,6,2,6,10,BF-BOF,Green Steel Plan H₂-DRI,0,,24.81278538812786,❌ WEAK
Voestalpine,2.4472573839662504,1.8368495077355833,2023,0.0,-0.014277865656414535,-1.4277865656414535,0.2168311786304285,7,13,5,6,2,7,9,BF-BOF,greentec steel EAF,0,,24.44725738396625,❌ WEAK
Acciaierie d'Italia Holding,0.0,2.586975652684072,2022,0.0,0.04092717807518285,4.092717807518285,0.7282842991159837,4,11,3,6,2,4,8,BF-BOF,IPCEI Hydra research,0,,19.0,❌ WEAK
Tata Steel UK,1.404682274247494,1.906354515050167,2024,0.0,-0.015449427616232247,-1.5449427616232247,0.27680192109071755,5,11,3,6,2,5,0,BF-BOF,None (on hold),0,,12.404682274247493,❌ WEAK
