company,country,technology,technology_group,year,production,total_intensity_best,scope2_method_used,predicted,residual
ArcelorMittal,Luxembourg,BF-BOF,BF-BOF,2013,90.9,1.98019801980198,location,1.813646401872568,0.16655161792941198
ArcelorMittal,Luxembourg,BF-BOF,BF-BOF,2014,93.4,1.9379014989293362,location,1.813646401872568,0.12425509705676818
ArcelorMittal,Luxembourg,BF-BOF,BF-BOF,2015,92.7,1.9633225458468178,location,1.813646401872568,0.14967614397424978
ArcelorMittal,Luxembourg,BF-BOF,BF-BOF,2016,90.4,1.9800884955752212,location,1.813646401872568,0.16644209370265317
ArcelorMittal,Luxembourg,BF-BOF,BF-BOF,2017,92.9,1.9698600645855757,location,1.813646401872568,0.15621366271300774
ArcelorMittal,Luxembourg,BF-BOF,BF-BOF,2018,92.5,1.9351351351351351,location,1.813646401872568,0.12148873326256715
ArcelorMittal,Luxembourg,BF-BOF,BF-BOF,2019,89.8,1.908685968819599,location,1.813646401872568,0.09503956694703097
ArcelorMittal,Luxembourg,BF-BOF,BF-BOF,2020,71.5,1.9454545454545453,location,1.813646401872568,0.13180814358197734
ArcelorMittal,Luxembourg,BF-BOF,BF-BOF,2021,67.9,1.8983799705449187,location,1.813646401872568,0.08473356867235071
ArcelorMittal,Luxembourg,BF-BOF,BF-BOF,2022,56.3,1.9804618117229131,location,1.813646401872568,0.16681540985034515
ArcelorMittal,Luxembourg,BF-BOF,BF-BOF,2023,55.7,1.9802513464991023,location,1.813646401872568,0.1666049446265343
ArcelorMittal,Luxembourg,BF-BOF,BF-BOF,2024,53.9,1.8682745825602969,location,1.813646401872568,0.0546281806877289
Celsa Group,Spain,EAF,EAF,2020,4.09,0.20220048899755502,location,0.6056002402168932,-0.40339975121933813
Celsa Group,Spain,EAF,EAF,2021,6.6,0.2739393939393939,location,0.6056002402168932,-0.33166084627749925
Celsa Group,Spain,EAF,EAF,2022,5.518,0.25752084088437843,location,0.6056002402168932,-0.34807939933251475
Celsa Group,Spain,EAF,EAF,2023,6.296,0.2303049555273189,location,0.6056002402168932,-0.3752952846895743
Celsa Group,Spain,EAF,EAF,2024,6.234,0.21960218158485723,location,0.6056002402168932,-0.38599805863203596
Outokumpu,Finland,EAF Stainless,EAF,2013,2.585,0.9802707930367505,market,0.6056002402168932,0.3746705528198573
Outokumpu,Finland,EAF Stainless,EAF,2014,2.544,0.9500786163522013,market,0.6056002402168932,0.3444783761353081
Outokumpu,Finland,EAF Stainless,EAF,2015,2.381,0.9500209995800085,market,0.6056002402168932,0.34442075936311534
Outokumpu,Finland,EAF Stainless,EAF,2016,2.444,0.9922258592471359,market,0.6056002402168932,0.38662561903024273
Outokumpu,Finland,EAF Stainless,EAF,2017,2.448,0.9003267973856208,market,0.6056002402168932,0.29472655716872764
Outokumpu,Finland,EAF Stainless,EAF,2018,2.428,0.8801482701812191,market,0.6056002402168932,0.2745480299643259
Outokumpu,Finland,EAF Stainless,EAF,2019,2.196,0.8998178506375227,market,0.6056002402168932,0.29421761042062955
Outokumpu,Finland,EAF Stainless,EAF,2020,2.121,0.7199434229137199,market,0.6056002402168932,0.11434318269682675
Outokumpu,Finland,EAF Stainless,EAF,2021,2.395,0.7265135699373695,market,0.6056002402168932,0.1209133297204763
Outokumpu,Finland,EAF Stainless,EAF,2022,2.106,0.6699905033238367,market,0.6056002402168932,0.06439026310694351
Outokumpu,Finland,EAF Stainless,EAF,2023,1.906,0.6059811122770199,market,0.6056002402168932,0.0003808720601267135
Outokumpu,Finland,EAF Stainless,EAF,2024,1.83,0.49999999999999994,market,0.6056002402168932,-0.10560024021689324
SSAB,Sweden,BF-BOF,BF-BOF,2013,7.519,1.4503258412022875,location,1.813646401872568,-0.3633205606702805
SSAB,Sweden,BF-BOF,BF-BOF,2014,7.305,1.4628336755646818,location,1.813646401872568,-0.3508127263078862
SSAB,Sweden,BF-BOF,BF-BOF,2015,6.961,1.4727768998707083,location,1.813646401872568,-0.3408695020018597
SSAB,Sweden,BF-BOF,BF-BOF,2016,7.079,1.4520412487639498,location,1.813646401872568,-0.3616051531086182
