company_id,company,year,barriers
004,Salzgitter,2017,Cost-effectiveness of decarbonisation measures
004,Salzgitter,2017,Preservation of jobs in the transition to a low-carbon economy
004,Salzgitter,2017,Limited influence of companies on global frameworks for climate protection
004,Salzgitter,2017,Global yardstick for CSR issues may not align with European or German views
004,Salzgitter,2017,Politicians' responsibility for creating a global framework for climate protection
004,Salzgitter,2018,Economic viability of production with high environmental standards
004,Salzgitter,2018,Preservation of jobs in the company
004,Salzgitter,2018,Limited role of companies in shaping global frameworks for climate protection and human rights
004,Salzgitter,2018,Global framework required for addressing climate protection and human rights issues
004,Salzgitter,2018,Politicians' responsibility for shaping global frameworks for climate protection and human rights
004,Salzgitter,2019,"Unilateral burdens from energy and climate policies that already exist today, and to which our competitors outside the EU are not exposed, are set to increase substantially."
004,Salzgitter,2019,Investments in the billion range envisaged for achieving the CO 2 reduction targets compound this scenario.
004,Salzgitter,2019,Cheaper but more CO 2 -intensive steel imports would inevitably crowd out our domestic industry.
004,Salzgitter,2019,A legal and economic environment that enables the viable operation of new plants and bolsters the competitiveness of low CO 2 products is needed.
004,Salzgitter,2019,Deindustrialization with all its ensuing fallout is a potential consequence of not meeting climate targets.
004,Salzgitter,2019,The economic viability and preservation of jobs must be ensured in order to guarantee production with the highest environmental standards.
004,Salzgitter,2019,A global framework is required to actively and productively shape the future on issues like climate protection or respect for human rights.
004,Salzgitter,2019,The onus lies with the politicians to create a framework for global issues.
004,Salzgitter,2019,The transition away from coal to other sources of energy in steel production requires specific framework conditions to be created by politicians.
004,Salzgitter,2020,Economic viability of production
004,Salzgitter,2020,Preservation of jobs
004,Salzgitter,2020,Global framework for climate protection
004,Salzgitter,2020,Limited role of companies in shaping global climate protection frameworks
004,Salzgitter,2020,Politicians' responsibility for climate protection frameworks
004,Salzgitter,2020,European and German views of CSR topics not universally accepted
004,Salzgitter,2020,Emissions trading amendments
004,Salzgitter,2020,European Green New Deal specification
004,Salzgitter,2020,Steel imports to the EU regulations
004,Salzgitter,2020,Limited influence of companies on global climate protection frameworks
004,Salzgitter,2024,Economic fluctuations of the markets
004,Salzgitter,2024,Unpredictable development of energy costs
004,Salzgitter,2024,Availability and cost of renewable energy sources
004,Salzgitter,2024,Detecting and meeting specific market requirements for hydrogen and carbon dioxide transportation and storage
004,Salzgitter,2024,Technological transformation in terms of the SALCOS program
004,Salzgitter,2024,Physical connection to the planned hydrogen grid
004,Salzgitter,2024,Use of finite fossil fuels (coking coal) in steel production
