company_id,company,year,motivators
003,Outokumpu,2013,Climate change (SR p. 22)
003,Outokumpu,2013,Corporate Governance statement (AR p. 117– 118)
003,Outokumpu,2013,Customers (SR p. 49)
003,Outokumpu,2013,Product properties (SR p. 6)
003,Outokumpu,2013,Safe use of stainless (SR p. 9)
003,Outokumpu,2013,Environmental goals and results (SR p. 15)
003,Outokumpu,2013,Focus on company turnaround (SR p. 36)
003,Outokumpu,2013,Diversity and equal rights (SR p. 38)
003,Outokumpu,2013,Our impact on the environment (SR p. 10– 13)
003,Outokumpu,2013,Climate change risks (SR p. 23–24)
003,Outokumpu,2013,Sustainable supply chain (SR p. 32)
003,Outokumpu,2013,Biodiversity (SR p. 30)
003,Outokumpu,2013,Our people (SR p. 34)
003,Outokumpu,2013,Goals and results (SR p. 38)
003,Outokumpu,2013,"Operational risks (AR, p. 124)"
003,Outokumpu,2013,Training and development (SR p. 40)
003,Outokumpu,2013,Local communities (SR p. 51-53)
003,Outokumpu,2013,Material balance (SR p. 18)
003,Outokumpu,2013,"Emissions, effluents and waste (SR p. 28)"
003,Outokumpu,2013,Energy efficiency (SR p. 19)
003,Outokumpu,2013,Review by the Board of Directors 2013 (AR p. 16)
003,Outokumpu,2013,CEO's review (AR p. 1)
003,Outokumpu,2013,Risks and uncertainties (AR p. 121–124)
003,Outokumpu,2013,"Corporate Governance statement (AR, p. 117–118)"
003,Outokumpu,2014,Climate change risks (SR p. 26–28)
003,Outokumpu,2014,Voluntary charters and other initiatives
003,Outokumpu,2014,Associations and federations (SR p. 56)
003,Outokumpu,2014,Product perspective (SR p. 8)
003,Outokumpu,2014,Material balance (SR p. 21)
003,Outokumpu,2014,Energy efficiency (SR p. 22)
003,Outokumpu,2014,Memberships in associations (SR p. 56–57)
003,Outokumpu,2014,Risks and stakeholders (SR p. 50)
003,Outokumpu,2014,Identification and selection of stakeholders (SR p. 50)
003,Outokumpu,2014,Approaches to stakeholder engagement (SR p. 50–59)
003,Outokumpu,2014,Sustainable supply chain (SR p. 36)
003,Outokumpu,2014,Communication and cooperation (SR p. 46)
003,Outokumpu,2014,Investors and analysts (SR p. 53)
003,Outokumpu,2014,Local communities (SR p. 54)
003,Outokumpu,2014,Climate change (SR p. 25)
003,Outokumpu,2014,Environmental goals and results (SR p. 14–15)
003,Outokumpu,2014,Corporate governance statement (AR p. 102– 104)
003,Outokumpu,2014,"Public sector, sponsoring and NGOs (SR p. 58), Shares and shareholders (AR p. 27)"
003,Outokumpu,2014,"CEO's foreword (SR p. 1), Compliance (SR p. 45)"
003,Outokumpu,2014,Focus on material issues (SR p. 62)
003,Outokumpu,2014,Local communities (SR p. 54–55)
003,Outokumpu,2014,Corporate governance statement (AR p. 103)
003,Outokumpu,2023,Decarbonizing across the value chain
003,Outokumpu,2023,Minimizing impacts on the environment
003,Outokumpu,2023,Accelerating the circular economy
003,Outokumpu,2023,Fostering a sustainable supply chain
003,Outokumpu,2023,Team work towards our targets
003,Outokumpu,2023,Always working safely
003,Outokumpu,2024,Competitive advantage in low-carbon stainless steel
003,Outokumpu,2024,Nature of its key activity (energy-intensive)
