company,year,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Acerinox,2021,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
Acerinox,2022,1,17,0,1,0,0,0,0,2,0,0,0,1,0,1,0,0
Acerinox,2023,2,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Acerinox,2024,13,5,2,0,0,3,1,5,7,5,0,0,0,0,2,3,0
ArcelorMittal,2013,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArcelorMittal,2014,2,0,3,2,0,1,0,0,2,0,0,0,0,1,0,0,0
ArcelorMittal,2016,3,2,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0
ArcelorMittal,2018,3,2,3,2,0,0,3,0,0,1,0,0,0,1,2,0,0
ArcelorMittal,2019,1,1,9,1,0,1,2,0,0,1,0,0,0,1,0,0,0
ArcelorMittal,2020,2,0,3,0,0,0,1,1,1,1,0,0,2,1,0,0,1
ArcelorMittal,2021,7,5,2,0,0,0,5,0,0,1,0,0,2,0,4,0,0
ArcelorMittal,2022,8,2,0,3,0,0,2,0,2,1,0,0,3,0,1,0,0
ArcelorMittal,2023,2,0,6,0,0,0,3,0,0,1,0,0,0,2,0,0,0
ArcelorMittal,2024,11,3,0,1,1,0,0,0,0,1,0,0,1,2,1,0,0
ArcelorMittal,2025,0,2,3,0,0,0,4,0,0,2,0,0,0,0,0,0,0
Baosteel,2014,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Baosteel,2018,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Baosteel,2021,6,8,7,2,1,0,0,5,0,0,1,0,0,2,0,0,0
Baosteel,2022,8,1,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Baosteel,2024,1,0,4,4,0,0,0,1,0,0,0,0,1,2,0,0,0
Celsa,2020,0,1,0,0,1,3,1,0,1,0,0,0,2,0,0,0,0
Celsa,2023,3,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0
Dillinger,2019,1,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
Dillinger,2021,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dillinger,2022,3,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0
Feralpi,2018,6,9,0,2,0,0,3,2,1,0,0,0,1,0,1,0,0
Feralpi,2021,2,3,0,0,0,0,0,0,4,0,0,0,0,0,3,2,0
Feralpi,2022,3,1,0,1,0,0,1,0,2,1,0,0,0,0,0,2,0
Feralpi,2023,0,4,3,1,0,0,3,4,2,0,0,0,0,0,2,0,0
Feralpi,2024,6,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2
NipponSteel,2014,3,1,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0
NipponSteel,2017,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
NipponSteel,2018,0,1,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0
NipponSteel,2019,3,2,8,0,0,17,0,1,0,0,0,0,0,0,0,0,0
NipponSteel,2020,3,5,3,0,0,0,0,0,2,0,0,0,0,2,0,1,0
NipponSteel,2021,2,3,4,0,1,1,0,1,0,1,0,0,0,0,0,0,0
NipponSteel,2022,7,5,5,1,3,0,2,4,1,1,0,0,0,1,0,1,0
NipponSteel,2023,6,0,23,0,50,0,1,0,1,1,0,0,0,0,0,3,0
