year,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2013,19,4,3,3,1,0,0,2,2,2,6,0,1,2,1,0,1
2014,13,4,8,8,0,1,0,1,4,2,10,0,1,4,0,0,0
2015,1,2,3,1,0,2,1,1,1,0,0,0,1,2,1,0,0
2016,3,3,0,2,0,2,4,1,0,0,1,0,0,1,0,0,0
2017,4,3,3,4,0,5,1,0,2,2,0,0,1,0,0,0,0
2018,13,13,14,9,0,4,6,5,3,6,0,0,1,1,3,0,0
2019,17,18,21,8,2,19,4,5,1,3,4,0,2,2,0,0,4
2020,24,17,18,5,1,3,3,3,6,4,0,0,5,3,1,1,2
2021,27,24,14,4,2,3,9,7,4,6,9,0,2,2,7,4,2
2022,41,34,23,10,3,6,6,8,12,4,1,0,6,1,2,3,6
2023,34,23,36,14,53,6,17,9,9,5,6,0,4,5,4,7,1
2024,52,50,19,14,5,7,3,13,11,9,4,31,4,4,7,4,5
2025,2,4,16,1,2,1,4,2,0,2,0,0,0,0,0,6,3
